incident_id,reported_at,source,description,incident_type,severity,status,latitude,longitude,address,borough,required_capability,estimated_duration_minutes,road_obstruction,safety_risk,priority_score,duplicate_of,assigned_crew_id,resolved_at
INC-1015,2026-08-21T11:42:46-04:00,PHONE,Series of potholes across the intersection at 34th and Park.,POTHOLE,MEDIUM,ASSIGNED,40.745,-73.978,E 34th St & Park Ave,Manhattan,ROAD_REPAIR,45,false,false,40,,CRW-B,
INC-1016,2026-08-21T11:02:46-04:00,APP,Broken curb with exposed rebar at the corner by the gallery entrance.,SIDEWALK_HAZARD,MEDIUM,ASSIGNED,40.7465,-74.0014,W 22nd St & 10th Ave,Manhattan,ROAD_REPAIR,60,false,true,50,,CRW-B,
INC-1017,2026-08-21T13:22:46-04:00,PHONE,The underpass at Astoria and Steinway floods every rain and it's a foot deep right now. One car already stalled in it.,FLOODING,HIGH,IN_PROGRESS,40.77,-73.906,Astoria Blvd & Steinway St,Queens,DRAINAGE,120,true,false,70,,CRW-F,
INC-1018,2026-08-20T13:54:46-04:00,PHONE,Pothole reported in the center lane on Atlantic Ave.,POTHOLE,MEDIUM,RESOLVED,40.6974,-73.9588,"Atlantic Ave, Brooklyn",Brooklyn,ROAD_REPAIR,45,false,false,32,,,2026-08-20T17:15:46-04:00
INC-1019,2026-08-20T22:35:46-04:00,APP,"Streetlight out on 2nd Ave, block is dark at night.",STREETLIGHT_OUT,LOW,RESOLVED,40.7569,-74.0004,"2nd Ave, Manhattan",Manhattan,ELECTRICAL,30,false,false,15,,,2026-08-21T02:13:46-04:00
INC-1020,2026-08-19T15:33:46-04:00,APP,Graffiti tags on the underpass along Roosevelt Ave.,GRAFFITI,LOW,RESOLVED,40.742,-73.8329,"Roosevelt Ave, Queens",Queens,GENERAL_MAINTENANCE,40,false,false,15,,,2026-08-19T17:39:46-04:00
INC-1021,2026-08-21T07:12:46-04:00,WEB,Street sign on Grand Concourse is knocked flat.,DAMAGED_SIGN,LOW,RESOLVED,40.8333,-73.8398,"Grand Concourse, Bronx",Bronx,SIGNAGE,25,false,false,15,,,2026-08-21T10:28:46-04:00
INC-1022,2026-08-20T03:07:46-04:00,WEB,Large limb down on Hylan Blvd after last week's wind.,FALLEN_TREE,HIGH,RESOLVED,40.584,-74.174,"Hylan Blvd, Staten Island",Staten Island,TREE_REMOVAL,90,false,false,50,,,2026-08-20T05:23:46-04:00
INC-1023,2026-08-20T19:36:46-04:00,WEB,"Standing water on Eastern Pkwy, drain appears blocked.",FLOODING,HIGH,RESOLVED,40.698,-73.9247,"Eastern Pkwy, Brooklyn",Brooklyn,DRAINAGE,120,false,false,50,,,2026-08-20T23:35:46-04:00
INC-1024,2026-08-19T20:51:46-04:00,PHONE,Cracked sidewalk slab on Broadway near the bus stop.,SIDEWALK_HAZARD,MEDIUM,RESOLVED,40.7557,-73.9765,"Broadway, Manhattan",Manhattan,ROAD_REPAIR,60,false,false,32,,,2026-08-20T01:42:46-04:00
INC-1025,2026-08-20T20:04:46-04:00,PHONE,Debris left in the roadway on Roosevelt Ave.,ROAD_OBSTRUCTION,MEDIUM,RESOLVED,40.751,-73.8541,"Roosevelt Ave, Queens",Queens,GENERAL_MAINTENANCE,30,false,false,32,,,2026-08-21T00:47:46-04:00
INC-1026,2026-08-20T11:56:46-04:00,WEB,Pothole reported in the bus lane on Fordham Rd.,POTHOLE,MEDIUM,RESOLVED,40.8216,-73.8642,"Fordham Rd, Bronx",Bronx,ROAD_REPAIR,45,false,false,32,,,2026-08-20T15:29:46-04:00
INC-1027,2026-08-20T11:40:46-04:00,WEB,"Streetlight out on Hylan Blvd, block is dark at night.",STREETLIGHT_OUT,LOW,RESOLVED,40.5925,-74.1585,"Hylan Blvd, Staten Island",Staten Island,ELECTRICAL,30,false,false,15,,,2026-08-20T13:47:46-04:00
INC-1028,2026-08-20T03:39:46-04:00,WEB,Graffiti tags on the retaining wall along Eastern Pkwy.,GRAFFITI,LOW,RESOLVED,40.6967,-73.9252,"Eastern Pkwy, Brooklyn",Brooklyn,GENERAL_MAINTENANCE,40,false,false,15,,,2026-08-20T06:57:46-04:00
INC-1029,2026-08-19T16:27:46-04:00,PHONE,Street sign on E 14th St is knocked flat.,DAMAGED_SIGN,LOW,RESOLVED,40.7721,-74.0114,"E 14th St, Manhattan",Manhattan,SIGNAGE,25,false,false,15,,,2026-08-19T18:49:46-04:00
INC-1030,2026-08-20T12:21:46-04:00,PHONE,Large limb down on Queens Blvd after last week's wind.,FALLEN_TREE,HIGH,RESOLVED,40.7381,-73.8307,"Queens Blvd, Queens",Queens,TREE_REMOVAL,90,false,false,50,,,2026-08-20T16:34:46-04:00
INC-1031,2026-08-21T09:01:46-04:00,APP,"Standing water on Fordham Rd, drain appears blocked.",FLOODING,HIGH,RESOLVED,40.8532,-73.8875,"Fordham Rd, Bronx",Bronx,DRAINAGE,120,false,false,50,,,2026-08-21T11:29:46-04:00
INC-1032,2026-08-21T05:55:46-04:00,PHONE,Cracked sidewalk slab on Richmond Ave near the bus stop.,SIDEWALK_HAZARD,MEDIUM,RESOLVED,40.6069,-74.1688,"Richmond Ave, Staten Island",Staten Island,ROAD_REPAIR,60,false,false,32,,,2026-08-21T08:36:46-04:00
INC-1033,2026-08-20T09:41:46-04:00,PHONE,Debris left in the roadway on Ocean Ave.,ROAD_OBSTRUCTION,MEDIUM,RESOLVED,40.703,-73.9261,"Ocean Ave, Brooklyn",Brooklyn,GENERAL_MAINTENANCE,30,false,false,32,,,2026-08-20T14:04:46-04:00
INC-1034,2026-08-21T04:29:46-04:00,PHONE,Pothole reported in the center lane on Amsterdam Ave.,POTHOLE,MEDIUM,RESOLVED,40.7765,-73.9604,"Amsterdam Ave, Manhattan",Manhattan,ROAD_REPAIR,45,false,false,32,,,2026-08-21T08:40:46-04:00
INC-1035,2026-08-20T04:40:46-04:00,APP,"Streetlight out on Astoria Blvd, block is dark at night.",STREETLIGHT_OUT,LOW,RESOLVED,40.7178,-73.8422,"Astoria Blvd, Queens",Queens,ELECTRICAL,30,false,false,15,,,2026-08-20T06:38:46-04:00
